mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_fixed_count,mode_fixed_neural_encoder_decoder_count,mode_neural_encoder_decoder_count,mode_raw_count
semantic,100,SA,0,33.0,28347.696258860007,23.18423269340809,123.40308701439794,80.2875273573609,22.0,12.0,0.536943694808123,0.4027777777777777,-22.807447046473982,0.0,0.0,22.0,11.0
semantic,100,SA,1,34.0,30193.946970760047,24.655708686090573,131.86654498736902,82.50957547676329,19.0,4.0,0.611849861824456,0.49938725490196073,-22.08888379415813,0.0,0.0,19.0,15.0
semantic,100,SA,2,69.0,17459.012081804645,13.67937912448791,76.05141138078737,81.49909148934317,52.0,29.0,0.4765450463048347,0.3248792270531401,-21.995263022585874,0.0,0.0,52.0,17.0
semantic,100,SA,3,48.0,24008.987116901408,19.299571229476737,104.89010328190966,88.00038567740957,28.0,16.0,0.5948257329571076,0.4774305555555554,-22.028537718001626,0.0,0.0,28.0,20.0
semantic,100,SA,4,42.0,20660.237746595587,16.46336326816214,90.17626057809665,83.0321706167093,28.0,15.0,0.536943694808123,0.4027777777777776,-18.306536720018183,0.0,0.0,28.0,14.0
semantic,100,SA,5,38.0,26541.217713337996,21.492172115400326,115.89905984544325,84.52428929899199,24.0,12.0,0.5613150792919059,0.4342105263157894,-22.34196941999677,0.0,0.0,24.0,14.0
semantic,100,SA,6,48.0,23133.15263858369,18.50114466335795,101.17633698750625,88.55461829487784,31.0,16.0,0.5514142043453691,0.4214409722222225,-21.79553926072515,0.0,0.0,31.0,17.0
semantic,100,SA,7,37.0,20053.19261539648,15.87139720515035,87.7524867342861,85.73928234041836,23.0,10.0,0.5682312829967633,0.4431306306306305,-20.707620056738946,0.0,0.0,23.0,14.0
semantic,100,SA,8,51.0,20730.02781328296,16.3053108102246,90.5777848618136,93.92353193678402,33.0,12.0,0.5505629979020017,0.42034313725490197,-22.283913099586563,0.0,0.0,33.0,18.0
semantic,100,SA,9,42.0,24797.321454618876,19.910644204502685,108.06757260906417,92.45941690756052,25.0,17.0,0.5865568703643955,0.46676587301587286,-23.09156120262184,0.0,0.0,25.0,17.0
semantic,100,Greedy,0,127.0,7061.218932326149,5.314200876599007,31.00217865047677,27.712827953830846,126.0,0.0,0.31088471117114436,0.11122047244094467,-18.115651933609087,0.0,0.0,126.0,1.0
semantic,100,Greedy,1,108.0,9710.709597535935,7.659543139964277,42.552939384236105,24.884596807541637,108.0,0.0,0.3054155422121846,0.10416666666666659,-20.613480319514277,0.0,0.0,108.0,0.0
semantic,100,Greedy,2,114.0,9221.198107929791,7.201592158538743,40.352009920237116,27.86516968131192,114.0,0.0,0.3054155422121848,0.10416666666666656,-19.446837131835075,0.0,0.0,114.0,0.0
semantic,100,Greedy,3,114.0,8794.136701627025,6.84051829165603,38.499199904061626,26.660092053836113,113.0,0.0,0.31150838833313066,0.11202485380116944,-19.624865519504713,0.0,0.0,113.0,1.0
semantic,100,Greedy,4,155.0,4864.607175341175,3.5750377660215644,21.34953488014936,17.99673302334534,153.0,0.0,0.31437792231267364,0.11572580645161289,-17.383538532995725,0.0,0.0,153.0,2.0
semantic,100,Greedy,5,113.0,8222.145400335789,6.334043274811191,36.00895169299394,26.663747230430502,113.0,0.0,0.30541554221218475,0.10416666666666656,-20.154856666671627,0.0,0.0,113.0,0.0
